n,a,m2,is_valid,contagious_set
5,10,,False,
6,10,,False,
7,10,,False,
8,10,,False,
9,10,,False,
10,10,,False,
11,10,2.0,True,"[0, 2]"
12,10,3.0,True,"[0, 1, 2]"
13,10,,False,
14,10,2.0,True,"[0, 7]"
15,10,3.0,True,"[0, 1, 2]"
16,10,2.0,True,"[0, 3]"
17,10,2.0,True,"[0, 3]"
18,10,3.0,True,"[2, 3, 13]"
19,10,2.0,True,"[7, 13]"
20,10,,False,
21,10,3.0,True,"[0, 7, 14]"
22,10,3.0,True,"[0, 7, 14]"
23,10,2.0,True,"[0, 3]"
24,10,3.0,True,"[0, 3, 20]"
25,10,3.0,True,"[7, 13, 14]"
26,10,2.0,True,"[0, 13]"
27,10,2.0,True,"[0, 13]"
28,10,4.0,True,"[0, 7, 14, 21]"
29,10,3.0,True,"[0, 3, 20]"
30,10,6.0,True,"[4, 6, 8, 10, 13, 22]"
31,10,4.0,True,"[0, 7, 14, 21]"
32,10,3.0,True,"[8, 14, 15]"
33,10,2.0,True,"[5, 18]"
34,10,3.0,True,"[2, 16, 22]"
35,10,4.0,True,"[10, 17, 21, 27]"
36,10,3.0,True,"[1, 7, 17]"
37,10,3.0,True,"[2, 16, 22]"
38,10,5.0,True,"[0, 7, 14, 21, 28]"
39,10,3.0,True,"[0, 13, 26]"
40,10,6.0,True,"[0, 6, 12, 18, 24, 30]"
41,10,4.0,True,"[5, 18, 35, 40]"
42,10,4.0,True,"[12, 34, 35, 41]"
43,10,3.0,True,"[0, 17, 37]"
44,10,4.0,True,"[0, 10, 17, 37]"
45,10,4.0,True,"[13, 14, 32, 38]"
46,10,3.0,True,"[10, 27, 43]"
47,10,3.0,True,"[10, 27, 44]"
48,10,5.0,True,"[6, 8, 14, 15, 47]"
49,10,4.0,True,"[12, 41, 44, 45]"
50,10,7.0,True,"[4, 8, 30, 34, 42, 46, 48]"
51,10,5.0,True,"[1, 7, 17, 40, 47]"
52,10,4.0,True,"[0, 13, 26, 39]"
53,10,4.0,True,"[0, 13, 26, 39]"
54,10,4.0,True,"[19, 32, 40, 53]"
55,10,5.0,True,"[1, 7, 17, 40, 47]"
56,10,4.0,True,"[17, 21, 27, 44]"
57,10,5.0,True,"[1, 7, 17, 40, 47]"
58,10,6.0,True,"[1, 7, 15, 17, 40, 47]"
59,10,4.0,True,"[0, 16, 35, 55]"
60,10,8.0,True,"[27, 31, 35, 42, 44, 45, 46, 50]"
61,10,6.0,True,"[1, 7, 15, 17, 40, 47]"
62,10,5.0,True,"[1, 7, 17, 40, 47]"
63,10,4.0,True,"[10, 27, 43, 50]"
64,10,5.0,True,"[2, 8, 28, 29, 43]"
65,10,5.0,True,"[0, 13, 26, 39, 52]"
66,10,4.0,True,"[17, 24, 31, 57]"
67,10,7.0,True,"[3, 8, 14, 31, 35, 47, 66]"
68,10,6.0,True,"[3, 25, 27, 29, 45, 64]"
69,10,5.0,True,"[0, 13, 26, 39, 52]"
70,10,8.0,True,"[0, 19, 20, 27, 35, 43, 54, 61]"
71,10,6.0,True,"[17, 18, 31, 33, 54, 69]"
72,10,6.0,True,"[7, 10, 30, 62, 68, 71]"
73,10,6.0,True,"[4, 9, 30, 35, 42, 65]"
74,10,7.0,True,"[13, 22, 33, 38, 64, 70, 72]"
75,10,6.0,True,"[7, 14, 30, 39, 46, 71]"
76,10,6.0,True,"[7, 14, 30, 39, 46, 72]"
77,10,7.0,True,"[0, 20, 22, 33, 58, 64, 72]"
78,10,6.0,True,"[0, 13, 26, 39, 52, 65]"
79,10,6.0,True,"[0, 13, 26, 39, 52, 65]"
80,10,7.0,True,"[0, 13, 22, 33, 58, 64, 76]"
81,10,7.0,True,"[13, 19, 25, 38, 47, 64, 80]"
82,10,6.0,True,"[0, 13, 26, 39, 52, 65]"
83,10,7.0,True,"[1, 14, 32, 34, 67, 68, 70]"
84,10,7.0,True,"[2, 7, 14, 30, 39, 46, 62]"
85,10,6.0,True,"[0, 22, 33, 58, 64, 81]"
86,10,7.0,True,"[12, 29, 35, 46, 48, 58, 81]"
87,10,7.0,True,"[13, 17, 24, 31, 43, 57, 68]"
88,10,8.0,True,"[11, 12, 13, 19, 27, 35, 43, 48]"
89,10,7.0,True,"[12, 29, 35, 46, 48, 58, 81]"
90,10,8.0,True,"[3, 25, 29, 64, 71, 77, 83, 89]"
91,10,7.0,True,"[0, 13, 26, 39, 52, 65, 78]"
92,10,7.0,True,"[0, 13, 26, 39, 52, 65, 78]"
93,10,7.0,True,"[0, 2, 41, 62, 67, 69, 76]"
94,10,9.0,True,"[3, 4, 11, 27, 29, 54, 64, 69, 75]"
95,10,7.0,True,"[0, 13, 26, 39, 52, 65, 78]"
96,10,8.0,True,"[28, 53, 57, 69, 75, 83, 89, 91]"
97,10,7.0,True,"[11, 13, 17, 69, 75, 86, 94]"
98,10,8.0,True,"[28, 53, 57, 69, 75, 83, 89, 91]"
99,10,8.0,True,"[28, 53, 57, 69, 75, 83, 89, 91]"
100,10,8.0,True,"[28, 53, 57, 69, 75, 83, 89, 91]"
101,10,8.0,True,"[28, 53, 57, 69, 75, 83, 89, 91]"
102,10,8.0,True,"[28, 53, 57, 69, 75, 83, 89, 91]"
103,10,8.0,True,"[28, 53, 57, 69, 75, 83, 89, 91]"
104,10,8.0,True,"[0, 13, 26, 39, 52, 65, 78, 91]"
105,10,8.0,True,"[0, 13, 26, 39, 52, 65, 78, 91]"
106,10,8.0,True,"[28, 53, 57, 69, 75, 83, 89, 91]"
107,10,8.0,True,"[28, 53, 57, 69, 75, 83, 89, 91]"
108,10,8.0,True,"[0, 13, 26, 39, 52, 65, 78, 91]"
109,10,8.0,True,"[28, 53, 57, 69, 75, 83, 89, 91]"
110,10,8.0,True,"[28, 53, 57, 69, 75, 83, 89, 91]"
111,10,8.0,True,"[0, 13, 26, 39, 52, 65, 78, 91]"
112,10,8.0,True,"[28, 53, 57, 69, 75, 83, 89, 91]"
113,10,8.0,True,"[28, 53, 57, 69, 75, 83, 89, 91]"
114,10,8.0,True,"[28, 53, 57, 69, 75, 83, 89, 91]"
115,10,9.0,True,"[10, 12, 29, 35, 37, 48, 98, 109, 110]"
116,10,8.0,True,"[8, 10, 62, 68, 93, 97, 98, 104]"
117,10,9.0,True,"[0, 13, 26, 39, 52, 65, 78, 91, 104]"
118,10,8.0,True,"[4, 8, 9, 29, 42, 65, 110, 115]"
119,10,9.0,True,"[0, 13, 26, 39, 52, 65, 78, 91, 104]"
120,10,9.0,True,"[0, 13, 26, 39, 52, 65, 78, 91, 104]"
121,10,9.0,True,"[0, 13, 26, 39, 52, 65, 78, 91, 104]"
122,10,9.0,True,"[0, 13, 26, 39, 52, 65, 78, 91, 104]"
123,10,9.0,True,"[0, 13, 26, 39, 52, 65, 78, 91, 104]"
124,10,9.0,True,"[0, 13, 26, 39, 52, 65, 78, 91, 104]"
125,10,9.0,True,"[0, 13, 26, 39, 52, 65, 78, 91, 104]"
126,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
127,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
128,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
129,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
130,10,10.0,True,"[0, 13, 26, 39, 52, 65, 78, 91, 104, 117]"
131,10,10.0,True,"[0, 13, 26, 39, 52, 65, 78, 91, 104, 117]"
132,10,8.0,True,"[12, 23, 28, 35, 39, 40, 126, 130]"
133,10,10.0,True,"[0, 13, 26, 39, 52, 65, 78, 91, 104, 117]"
134,10,7.0,True,"[12, 14, 20, 40, 122, 128, 130]"
135,10,10.0,True,"[0, 13, 26, 39, 52, 65, 78, 91, 104, 117]"
136,10,7.0,True,"[12, 23, 28, 35, 39, 126, 130]"
137,10,10.0,True,"[0, 13, 26, 39, 52, 65, 78, 91, 104, 117]"
138,10,10.0,True,"[0, 13, 26, 39, 52, 65, 78, 91, 104, 117]"
139,10,9.0,True,"[12, 23, 28, 35, 39, 40, 108, 126, 130]"
140,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
141,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
142,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
143,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
144,10,9.0,True,"[12, 23, 28, 35, 39, 40, 108, 126, 130]"
145,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
146,10,9.0,True,"[12, 23, 28, 35, 39, 40, 108, 126, 130]"
147,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
148,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
149,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
150,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
151,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
152,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
153,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
154,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
155,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
156,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
157,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
158,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
159,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
160,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
161,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
162,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
163,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
164,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
165,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
166,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
167,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
168,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
169,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
170,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
171,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
172,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
173,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
174,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
175,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
176,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
177,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
178,10,10.0,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
