n,a,m2,is_valid,contagious_set
5,12,,False,
6,12,,False,
7,12,,False,
8,12,,False,
9,12,,False,
10,12,,False,
11,12,,False,
12,12,,False,
13,12,2.0,True,"[1, 10]"
14,12,3.0,True,"[0, 4, 8]"
15,12,,False,
16,12,3.0,True,"[0, 5, 10]"
17,12,3.0,True,"[0, 3, 11]"
18,12,,False,
19,12,3.0,True,"[0, 6, 12]"
20,12,3.0,True,"[0, 6, 12]"
21,12,,False,
22,12,3.0,True,"[0, 7, 14]"
23,12,3.0,True,"[3, 17, 21]"
24,12,,False,
25,12,3.0,True,"[4, 7, 23]"
26,12,3.0,True,"[0, 3, 20]"
27,12,,False,
28,12,3.0,True,"[0, 9, 18]"
29,12,3.0,True,"[0, 9, 18]"
30,12,,False,
31,12,3.0,True,"[7, 8, 23]"
32,12,3.0,True,"[10, 21, 27]"
33,12,,False,
34,12,3.0,True,"[1, 7, 17]"
35,12,3.0,True,"[10, 21, 27]"
36,12,,False,
37,12,3.0,True,"[1, 7, 17]"
38,12,3.0,True,"[10, 21, 27]"
39,12,,False,
40,12,3.0,True,"[1, 7, 17]"
41,12,3.0,True,"[14, 28, 37]"
42,12,,False,
43,12,3.0,True,"[1, 35, 38]"
44,12,3.0,True,"[12, 35, 41]"
45,12,,False,
46,12,3.0,True,"[0, 15, 30]"
47,12,3.0,True,"[0, 15, 30]"
48,12,,False,
49,12,3.0,True,"[1, 32, 38]"
50,12,3.0,True,"[2, 14, 20]"
51,12,,False,
52,12,3.0,True,"[1, 32, 38]"
53,12,3.0,True,"[20, 43, 49]"
54,12,,False,
55,12,3.0,True,"[1, 32, 38]"
56,12,4.0,True,"[0, 3, 15, 18]"
57,12,,False,
58,12,3.0,True,"[14, 32, 38]"
59,12,3.0,True,"[14, 32, 38]"
60,12,,False,
61,12,3.0,True,"[14, 32, 38]"
62,12,3.0,True,"[14, 32, 38]"
63,12,,False,
64,12,4.0,True,"[0, 3, 15, 18]"
65,12,3.0,True,"[27, 33, 54]"
66,12,,False,
67,12,4.0,True,"[0, 3, 15, 18]"
68,12,4.0,True,"[0, 3, 15, 18]"
69,12,,False,
70,12,4.0,True,"[0, 3, 15, 18]"
71,12,4.0,True,"[0, 3, 15, 18]"
72,12,,False,
73,12,4.0,True,"[0, 3, 15, 18]"
74,12,4.0,True,"[0, 3, 15, 18]"
75,12,,False,
76,12,4.0,True,"[0, 3, 15, 18]"
77,12,3.0,True,"[4, 54, 75]"
78,12,,False,
79,12,4.0,True,"[0, 3, 15, 18]"
80,12,4.0,True,"[0, 3, 15, 18]"
81,12,,False,
82,12,4.0,True,"[0, 3, 15, 18]"
83,12,3.0,True,"[3, 71, 77]"
84,12,,False,
85,12,4.0,True,"[0, 3, 15, 18]"
86,12,3.0,True,"[3, 71, 77]"
87,12,,False,
88,12,3.0,True,"[11, 69, 75]"
89,12,4.0,True,"[0, 3, 15, 18]"
90,12,,False,
91,12,4.0,True,"[0, 3, 15, 18]"
92,12,4.0,True,"[0, 3, 15, 18]"
93,12,,False,
94,12,4.0,True,"[0, 3, 15, 18]"
95,12,4.0,True,"[0, 3, 15, 18]"
96,12,,False,
97,12,4.0,True,"[0, 3, 15, 18]"
98,12,4.0,True,"[0, 3, 15, 18]"
99,12,,False,
100,12,4.0,True,"[0, 3, 15, 18]"
101,12,4.0,True,"[0, 3, 15, 18]"
102,12,,False,
103,12,4.0,True,"[0, 3, 15, 18]"
104,12,4.0,True,"[0, 3, 15, 18]"
105,12,,False,
106,12,3.0,True,"[0, 97, 103]"
107,12,4.0,True,"[0, 3, 15, 18]"
108,12,,False,
109,12,3.0,True,"[0, 97, 103]"
110,12,4.0,True,"[0, 3, 15, 18]"
111,12,,False,
112,12,4.0,True,"[0, 3, 15, 18]"
113,12,4.0,True,"[0, 3, 15, 18]"
114,12,,False,
115,12,4.0,True,"[0, 3, 15, 18]"
116,12,4.0,True,"[0, 3, 15, 18]"
117,12,,False,
118,12,4.0,True,"[0, 3, 15, 18]"
119,12,4.0,True,"[0, 3, 15, 18]"
120,12,,False,
121,12,4.0,True,"[0, 3, 15, 18]"
122,12,4.0,True,"[0, 3, 15, 18]"
123,12,,False,
124,12,4.0,True,"[0, 3, 15, 18]"
125,12,4.0,True,"[0, 3, 15, 18]"
126,12,,False,
127,12,4.0,True,"[0, 3, 15, 18]"
128,12,4.0,True,"[0, 3, 15, 18]"
129,12,,False,
130,12,4.0,True,"[0, 3, 15, 18]"
131,12,4.0,True,"[0, 3, 15, 18]"
132,12,,False,
133,12,4.0,True,"[0, 3, 15, 18]"
134,12,4.0,True,"[0, 3, 15, 18]"
135,12,,False,
