n,a,m2,contagious_set,computation_time,timestamp
5,1,2,"[0, 1]",0.00027942657470703125,2025-12-17T21:45:37.193371
5,4,2,"[0, 1]",1.0967254638671875e-05,2025-12-17T21:45:37.193435
7,1,2,"[0, 1]",1.5735626220703125e-05,2025-12-17T21:45:37.193481
7,2,2,"[0, 1]",9.5367431640625e-06,2025-12-17T21:45:37.193504
7,5,2,"[0, 1]",8.821487426757812e-06,2025-12-17T21:45:37.193523
7,6,2,"[0, 1]",1.2874603271484375e-05,2025-12-17T21:45:37.193547
8,1,2,"[0, 2]",1.52587890625e-05,2025-12-17T21:45:37.193583
8,2,2,"[0, 1]",1.4066696166992188e-05,2025-12-17T21:45:37.193611
8,6,2,"[0, 1]",1.2159347534179688e-05,2025-12-17T21:45:37.193635
8,7,2,"[0, 2]",1.52587890625e-05,2025-12-17T21:45:37.193661
9,1,2,"[0, 2]",1.811981201171875e-05,2025-12-17T21:45:37.193700
9,2,2,"[0, 1]",1.5020370483398438e-05,2025-12-17T21:45:37.193728
9,4,2,"[0, 1]",1.2159347534179688e-05,2025-12-17T21:45:37.193754
9,5,2,"[0, 1]",1.0728836059570312e-05,2025-12-17T21:45:37.193775
9,7,2,"[0, 1]",1.33514404296875e-05,2025-12-17T21:45:37.193798
9,8,2,"[0, 2]",1.6927719116210938e-05,2025-12-17T21:45:37.193827
10,1,2,"[0, 2]",2.3603439331054688e-05,2025-12-17T21:45:37.193871
10,2,2,"[0, 1]",1.71661376953125e-05,2025-12-17T21:45:37.193901
10,4,2,"[0, 1]",1.8835067749023438e-05,2025-12-17T21:45:37.193930
10,6,2,"[0, 1]",1.7642974853515625e-05,2025-12-17T21:45:37.193961
10,8,2,"[0, 1]",1.621246337890625e-05,2025-12-17T21:45:37.193987
10,9,2,"[0, 2]",2.1457672119140625e-05,2025-12-17T21:45:37.194019
11,1,2,"[0, 2]",2.0503997802734375e-05,2025-12-17T21:45:37.194061
11,2,2,"[0, 1]",1.6689300537109375e-05,2025-12-17T21:45:37.194086
11,4,2,"[0, 1]",1.5735626220703125e-05,2025-12-17T21:45:37.194110
11,5,2,"[0, 1]",1.9788742065429688e-05,2025-12-17T21:45:37.194137
11,6,2,"[0, 1]",1.8358230590820312e-05,2025-12-17T21:45:37.194164
11,7,2,"[0, 1]",1.5497207641601562e-05,2025-12-17T21:45:37.194187
11,9,2,"[0, 1]",1.52587890625e-05,2025-12-17T21:45:37.194210
11,10,2,"[0, 2]",1.6450881958007812e-05,2025-12-17T21:45:37.194233
12,1,2,"[0, 2]",1.9788742065429688e-05,2025-12-17T21:45:37.194269
12,2,3,"[0, 1, 2]",0.0013782978057861328,2025-12-17T21:45:37.195658
12,4,3,"[0, 1, 2]",0.0014867782592773438,2025-12-17T21:45:37.197189
12,5,2,"[0, 2]",2.288818359375e-05,2025-12-17T21:45:37.197233
12,7,2,"[0, 2]",2.0265579223632812e-05,2025-12-17T21:45:37.197263
12,8,3,"[0, 1, 2]",0.0013592243194580078,2025-12-17T21:45:37.198634
12,10,3,"[0, 1, 2]",0.0012824535369873047,2025-12-17T21:45:37.199932
12,11,2,"[0, 2]",2.0503997802734375e-05,2025-12-17T21:45:37.199969
13,1,2,"[1, 10]",0.00030159950256347656,2025-12-17T21:45:37.200294
13,2,3,"[0, 4, 8]",0.0008757114410400391,2025-12-17T21:45:37.201184
13,4,2,"[0, 6]",0.00026988983154296875,2025-12-17T21:45:37.201472
13,5,2,"[0, 6]",0.0003025531768798828,2025-12-17T21:45:37.201804
13,6,2,"[0, 6]",0.0002551078796386719,2025-12-17T21:45:37.202104
13,7,2,"[0, 6]",0.00023698806762695312,2025-12-17T21:45:37.202378
13,8,2,"[0, 6]",0.00028014183044433594,2025-12-17T21:45:37.202679
13,9,2,"[0, 6]",0.00022268295288085938,2025-12-17T21:45:37.202926
13,11,3,"[0, 4, 8]",0.0009338855743408203,2025-12-17T21:45:37.203875
13,12,2,"[1, 10]",0.0003020763397216797,2025-12-17T21:45:37.204202
14,1,2,"[1, 11]",0.0002493858337402344,2025-12-17T21:45:37.204479
14,2,3,"[0, 4, 8]",0.0008351802825927734,2025-12-17T21:45:37.205329
14,4,2,"[0, 7]",0.000152587890625,2025-12-17T21:45:37.205499
14,5,2,"[1, 3]",0.0002677440643310547,2025-12-17T21:45:37.205779
14,6,2,"[0, 3]",0.00019860267639160156,2025-12-17T21:45:37.205993
14,8,2,"[0, 3]",0.00020551681518554688,2025-12-17T21:45:37.206210
14,9,2,"[1, 3]",0.00029730796813964844,2025-12-17T21:45:37.206520
14,10,2,"[0, 7]",0.00017213821411132812,2025-12-17T21:45:37.206722
14,12,3,"[0, 4, 8]",0.0008714199066162109,2025-12-17T21:45:37.207608
14,13,2,"[1, 11]",0.0002486705780029297,2025-12-17T21:45:37.207880
15,1,2,"[0, 11]",0.00024271011352539062,2025-12-17T21:45:37.208150
15,2,3,"[0, 5, 10]",0.0008347034454345703,2025-12-17T21:45:37.209000
15,4,2,"[0, 7]",0.000152587890625,2025-12-17T21:45:37.209170
15,5,3,"[0, 1, 2]",0.0009663105010986328,2025-12-17T21:45:37.210149
15,7,3,"[0, 5, 10]",0.0008413791656494141,2025-12-17T21:45:37.211007
15,8,3,"[0, 5, 10]",0.0008597373962402344,2025-12-17T21:45:37.211883
15,10,3,"[0, 1, 2]",0.0009660720825195312,2025-12-17T21:45:37.212867
15,11,2,"[0, 7]",0.00014519691467285156,2025-12-17T21:45:37.213035
15,13,3,"[0, 5, 10]",0.0008306503295898438,2025-12-17T21:45:37.213885
15,14,2,"[0, 11]",0.0002434253692626953,2025-12-17T21:45:37.214144
16,1,2,"[8, 12]",0.0003058910369873047,2025-12-17T21:45:37.214473
16,2,3,"[0, 5, 10]",0.0008685588836669922,2025-12-17T21:45:37.215355
16,4,3,"[0, 5, 10]",0.0008537769317626953,2025-12-17T21:45:37.216221
16,5,2,"[0, 8]",0.0001347064971923828,2025-12-17T21:45:37.216370
16,6,2,"[0, 3]",0.00019931793212890625,2025-12-17T21:45:37.216580
16,7,2,"[3, 13]",0.00028133392333984375,2025-12-17T21:45:37.216872
